CLASS,AvgCyclomatic,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED,mutation
PluginDeclarationRule.java,2,34.0,79.0,4.0,6.0,6.0,24.0,4.0,4.0,0.0,3.0,0.833333333
PluginDeclarationRuleBuilder.java,1,11.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,2.0,0.0,0.0
PluginException.java,1,25.0,0.0,0.0,0.0,10.0,0.0,4.0,0.0,4.0,0.0,0.0
PluginInvalidInputException.java,1,13.0,0.0,0.0,0.0,6.0,0.0,3.0,0.0,3.0,0.0,
PluginManager.java,2,59.0,139.0,4.0,14.0,6.0,38.0,4.0,11.0,0.0,6.0,0.666666667
PluginRules.java,1,143.0,217.0,10.0,16.0,28.0,55.0,16.0,21.0,8.0,16.0,0.514285714
PrefixedRulesBinder.java,1,20.0,33.0,2.0,2.0,7.0,7.0,6.0,2.0,4.0,2.0,0.375
RegexMatcher.java,0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,
RegexRules.java,1,8.0,90.0,1.0,7.0,2.0,22.0,2.0,9.0,1.0,6.0,0.857142857
Rule.java,1,0.0,27.0,0.0,0.0,0.0,13.0,0.0,9.0,0.0,9.0,1.0
RuleFinder.java,0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,
RuleLoader.java,0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,
RuleMatcher.java,0,,,,,,,,,,,
RuleProvider.java,0,,,,,,,,,,,
RuleSet.java,0,,,,,,,,,,,
RuleSetBase.java,1,4.0,9.0,0.0,0.0,2.0,4.0,1.0,2.0,1.0,2.0,1.0
Rules.java,0,,,,,,,,,,,
RulesBase.java,2,0.0,195.0,0.0,36.0,0.0,46.0,0.0,25.0,0.0,7.0,0.75
RulesBinder.java,0,,,,,,,,,,,
RulesFactory.java,0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,
RulesModule.java,0,,,,,,,,,,,
SetNamespaceURIRule.java,1,0.0,17.0,0.0,0.0,0.0,7.0,0.0,3.0,0.0,3.0,0.5
SetNestedPropertiesAliasRule.java,1,15.0,5.0,0.0,0.0,4.0,2.0,1.0,1.0,1.0,1.0,
