CLASS,AvgCyclomatic,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED,mutation,,STATEMENTCoverage,BRANCHCoverage
ChartMouseEvent.java,1,22,0,0,0,8,0,4,0,4,0,0,,,
ChartMouseListener.java,0,,,,,,,,,,,,,,
ChartPanel.java,2,2811,1237,347,51,707,326,274,36,83,28,0,,,
ChartProgressEvent.java,1,24,16,0,0,10,6,6,1,6,1,0,,,
ChartProgressEventType.java,1,0,24,0,0,0,3,0,1,0,1,,,,
ChartProgressListener.java,0,,,,,,,,,,,,,,
ChartRenderingInfo.java,1,30,141,4,12,6,43,5,16,1,12,0.64516129,,,
ChartTheme.java,0,,,,,,,,,,,,,,
ChartTransferable.java,2,207,0,12,0,52,0,13,0,7,0,0,,,
ChartUtils.java,1,410,14,10,2,106,6,34,2,28,2,0,,,
CloneUtils.java,4,39,95,1,11,13,25,2,8,1,3,1,,,
ClusteredXYBarRenderer.java,3,333,121,53,13,78,33,30,11,2,6,0.298701299,,,
ColorBlock.java,1,47,52,1,5,13,19,5,6,4,4,0.5,,,
ColumnArrangement.java,3,422,64,50,12,89,23,32,10,7,4,0.166666667,,,
CombinedDomainCategoryPlot.java,2,301,550,49,47,77,149,46,27,10,15,0.219858156,,,
CombinedDomainXYPlot.java,2,351,557,59,53,90,151,53,33,13,17,0.190140845,,,
CombinedRangeCategoryPlot.java,3,200,512,41,45,49,138,38,25,6,14,0.267241379,,,
CombinedRangeXYPlot.java,2,352,508,59,43,89,133,50,29,12,16,0.221374046,,,
ComparableObjectItem.java,1,8,73,2,8,4,20,3,10,1,7,0.722222222,,,
ComparableObjectSeries.java,2,69,361,11,49,19,94,12,38,3,17,0.546391753,,,
CompassFormat.java,1,236,0,4,0,18,0,9,0,7,0,0,,,
CompassPlot.java,2,824,374,69,36,161,107,66,26,17,18,0.131782946,,,
CompositeTitle.java,1,73,80,4,6,19,26,7,10,4,8,0.5,,,
Crosshair.java,1,56,578,1,33,20,159,18,39,17,23,0.494252874,,,
CrosshairLabelGenerator.java,0,,,,,,,,,,,,,,
CrosshairOverlay.java,4,905,84,145,5,225,25,89,6,15,5,0.046979866,,,
CrosshairState.java,1,141,53,15,1,36,24,14,13,6,13,0.029411765,,,
CustomCategoryURLGenerator.java,2,17,139,10,18,7,40,10,12,1,7,0.65625,,,
CustomPieURLGenerator.java,2,13,158,7,17,5,39,8,12,1,7,0.615384615,,,
CustomXYToolTipGenerator.java,2,18,126,14,14,4,34,13,9,1,7,0.310344828,,,
CustomXYURLGenerator.java,2,17,139,10,18,7,39,10,12,1,7,0.65625,,,
CyclicNumberAxis.java,3,1452,156,191,15,344,54,118,20,21,14,0.086956522,,,
CyclicXYItemRenderer.java,2,780,0,118,0,106,0,64,0,5,0,0,,,
DataPackageResources.java,1,0,35,0,0,0,3,0,3,0,3,1,,,
DataPackageResources_de.java,1,35,0,0,0,3,0,3,0,3,0,0,,,
DataPackageResources_es.java,1,35,0,0,0,3,0,3,0,3,0,0,,,
DataPackageResources_fr.java,1,35,0,0,0,3,0,3,0,3,0,0,,,
DataPackageResources_pl.java,1,35,0,0,0,3,0,3,0,3,0,0,,,
DataPackageResources_ru.java,1,35,0,0,0,3,0,3,0,3,0,0,,,
DataUtils.java,3,68,259,12,36,16,64,10,24,2,8,0.676056338,,,
Dataset.java,0,,,,,,,,,,,,,,
DatasetChangeEvent.java,1,0,10,0,0,0,4,0,2,0,2,0,,,
DatasetChangeListener.java,0,,,,,,,,,,,,,,
DatasetGroup.java,1,21,23,3,3,9,8,6,2,3,2,0.3,,,
DatasetReader.java,2,122,0,2,0,43,0,8,0,7,0,0,,,
DatasetRenderingOrder.java,1,0,24,0,0,0,3,0,1,0,1,,,,
DatasetTags.java,0,,,,,,,,,,,,,,
DatasetUtils.java,5,738,2934,155,419,182,719,126,218,10,47,0.678627145,,,
DateAxis.java,2,713,2139,87,131,145,478,77,84,12,40,0.408653846,,,
DateRange.java,1,30,59,0,0,5,14,2,7,2,7,0.8,,,
DateTick.java,1,7,51,2,4,3,13,3,5,1,4,0.545454545,,,
DateTickMarkPosition.java,1,0,34,0,0,0,4,0,1,0,1,,,,
DateTickUnit.java,1,79,197,8,22,17,50,14,18,6,11,0.366666667,,,
DateTickUnitType.java,1,0,92,0,0,0,12,0,3,0,3,1,,,
DateTitle.java,1,10,43,0,0,2,8,1,4,1,4,0,,,
Day.java,1,27,281,5,9,10,81,5,25,1,22,0.68627451,,,
DefaultAxisEditor.java,1,591,0,22,0,132,0,29,0,18,0,0,,,
DefaultBoxAndWhiskerCategoryDataset.java,1,129,598,36,54,45,170,43,47,11,34,0.565217391,,,
DefaultBoxAndWhiskerXYDataset.java,1,95,318,18,24,23,95,24,25,7,21,0.633333333,,,
DefaultCategoryDataset.java,1,20,219,1,19,8,64,4,31,3,22,0.773584906,,,
DefaultCategoryItemRenderer.java,0,0,3,0,0,0,1,0,1,0,1,,,,
DefaultChartEditor.java,1,422,0,6,0,87,0,12,0,9,0,0,,,
DefaultChartEditorFactory.java,1,8,0,0,0,3,0,2,0,2,0,0,,,
DefaultDrawingSupplier.java,2,12,765,6,50,4,147,5,41,0,18,0.630769231,,,
DefaultHeatMapDataset.java,2,78,188,12,30,13,51,15,21,3,12,0.696428571,,,
DefaultHighLowDataset.java,1,127,125,12,18,38,33,23,11,16,3,0.444444444,,,
DefaultIntervalCategoryDataset.java,2,199,587,46,74,43,147,45,48,3,30,0.671052632,,,
DefaultIntervalXYDataset.java,1,74,475,13,23,18,89,20,18,7,13,0.71875,,,
DefaultKeyedValue.java,1,50,57,9,7,6,19,8,8,2,6,0.571428571,,,
DefaultKeyedValueDataset.java,2,32,99,12,10,9,31,11,10,2,8,0.652173913,,,
DefaultKeyedValues.java,1,37,462,10,34,9,108,10,34,1,21,0.893333333,,,
DefaultKeyedValues2D.java,2,50,534,12,56,17,129,14,43,2,21,0.755102041,,,
