CLASS,AvgCyclomatic,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED,mutation
ExprLookup.java,1,62.0,122.0,3.0,7.0,17.0,33.0,8.0,13.0,6.0,10.0,0.666666667
ExpressionEngine.java,0,,,,,,,,,,,
FileBased.java,0,,,,,,,,,,,
FileBasedBuilderParameters.java,0,,,,,,,,,,,
FileBasedBuilderParametersImpl.java,1,0.0,206.0,0.0,18.0,0.0,65.0,0.0,30.0,0.0,21.0,1.0
FileBasedBuilderProperties.java,0,,,,,,,,,,,
FileBasedConfiguration.java,0,,,,,,,,,,,
FileBasedConfigurationBuilder.java,1,0.0,276.0,1.0,39.0,0.0,84.0,1.0,38.0,0.0,19.0,0.923076923
FileExtensionConfigurationBuilderProvider.java,2,1.0,88.0,1.0,13.0,1.0,22.0,1.0,12.0,0.0,6.0,0.8
FileHandler.java,1,65.0,875.0,4.0,74.0,13.0,285.0,4.0,112.0,0.0,77.0,0.914285714
FileHandlerListener.java,0,,,,,,,,,,,
FileHandlerListenerAdapter.java,1,0.0,8.0,0.0,0.0,0.0,6.0,0.0,6.0,0.0,6.0,
FileHandlerReloadingDetector.java,1,3.0,139.0,0.0,20.0,2.0,39.0,0.0,23.0,0.0,13.0,0.916666667
FileLocationStrategy.java,0,,,,,,,,,,,
FileLocator.java,1,0.0,155.0,0.0,6.0,0.0,37.0,0.0,14.0,0.0,11.0,0.958333333
FileLocatorAware.java,0,,,,,,,,,,,
FileLocatorUtils.java,2,14.0,504.0,5.0,69.0,2.0,112.0,5.0,56.0,0.0,24.0,0.9402985070000001
FileOptionsProvider.java,0,,,,,,,,,,,
FileSystem.java,1,4.0,22.0,0.0,2.0,2.0,7.0,1.0,6.0,1.0,5.0,0.666666667
FileSystemLocationStrategy.java,1,0.0,10.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,2.0,1.0
FileUtils.java,4,4.0,109.0,4.0,14.0,2.0,24.0,5.0,8.0,1.0,3.0,0.684210526
FindNodeVisitor.java,1,0.0,25.0,0.0,2.0,0.0,10.0,0.0,6.0,0.0,5.0,0.8
HierarchicalBuilderParameters.java,0,,,,,,,,,,,
HierarchicalBuilderParametersImpl.java,1,0.0,22.0,0.0,0.0,0.0,6.0,0.0,3.0,0.0,3.0,1.0
HierarchicalBuilderProperties.java,0,,,,,,,,,,,
HierarchicalConfiguration.java,0,,,,,,,,,,,
HierarchicalConfigurationConverter.java,2,1.0,180.0,2.0,16.0,1.0,45.0,2.0,13.0,0.0,6.0,0.894736842
HierarchicalConfigurationXMLReader.java,1,0.0,35.0,0.0,0.0,0.0,13.0,0.0,6.0,0.0,6.0,1.0
HomeDirectoryLocationStrategy.java,1,0.0,69.0,0.0,10.0,0.0,24.0,0.0,13.0,0.0,8.0,1.0
INIBuilderParameters.java,0,,,,,,,,,,,
INIBuilderParametersImpl.java,1,31.0,21.0,0.0,0.0,5.0,7.0,1.0,4.0,1.0,4.0,0.3
INIBuilderProperties.java,1,4.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0
INIConfiguration.java,2,15.0,840.0,5.0,127.0,3.0,220.0,6.0,90.0,1.0,29.0,0.811320755
ImmutableConfiguration.java,0,,,,,,,,,,,
ImmutableConfigurationInvocationHandler.java,1,0.0,31.0,0.0,2.0,0.0,9.0,0.0,4.0,0.0,3.0,1.0
ImmutableHierarchicalConfiguration.java,0,,,,,,,,,,,
ImmutableNode.java,1,0.0,318.0,0.0,26.0,0.0,66.0,0.0,32.0,0.0,19.0,0.8939393940000001
InMemoryNodeModel.java,1,2.0,1287.0,8.0,114.0,0.0,342.0,8.0,116.0,0.0,63.0,0.929032258
InMemoryNodeModelSupport.java,0,,,,,,,,,,,
Initializable.java,0,,,,,,,,,,,
InputStreamSupport.java,0,,,,,,,,,,,
InterpolatorSpecification.java,1,0.0,39.0,0.0,0.0,0.0,14.0,0.0,5.0,0.0,5.0,1.0
JNDIConfiguration.java,2,18.0,365.0,4.0,34.0,5.0,105.0,7.0,31.0,3.0,16.0,0.8367346940000001
JSONConfiguration.java,1,19.0,61.0,0.0,0.0,8.0,14.0,1.0,4.0,1.0,4.0,0.4
JndiBuilderParameters.java,0,,,,,,,,,,,
JndiBuilderParametersImpl.java,1,0.0,15.0,0.0,0.0,0.0,5.0,0.0,3.0,0.0,3.0,1.0
